segment,timestamp,throughput_kbps,jitter_ms,buffer_level_s,quality,bitrate_kbps,buffer_can_play,is_rebuffering,rebuffering_duration_s
1,2026-05-19T22:04:15.989589,1008.11,0,1.0,240p,200,0,1,1.0
2,2026-05-19T22:04:16.532278,1289.87,456.34,2.46,480p,700,1,0,0.0
3,2026-05-19T22:04:17.093501,1247.27,1438.78,3.9,480p,700,1,0,0.0
4,2026-05-19T22:04:17.693730,1166.22,1399.77,5.29,480p,700,1,0,0.0
5,2026-05-19T22:04:18.290674,1175.8,1403.06,6.7,480p,700,1,0,0.0
6,2026-05-19T22:04:18.891219,1167.89,1399.46,8.1,480p,700,1,0,0.0
7,2026-05-19T22:04:19.440958,1278.0,1450.26,9.55,480p,700,1,0,0.0
8,2026-05-19T22:04:19.996082,1269.82,1444.88,10.99,480p,700,1,0,0.0
9,2026-05-19T22:04:20.603674,1229.45,1392.41,12.38,480p,700,1,0,0.0
10,2026-05-19T22:04:21.192535,1188.73,1411.14,13.8,480p,700,1,0,0.0
